[2026/07/19 01:02:00:000   00   15000   01361   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=e8bb1f881a
[2026/07/19 01:02:03:985   00   15000   02091   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=DbConnecto
[2026/07/19 01:02:07:302   00   15000   05287   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=6cfdd74f14
[2026/07/19 01:02:07:578   00   15000   12198   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=e44af7c918
[2026/07/19 01:02:11:012   00   15000   13676   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=51e09fcc47
[2026/07/19 01:02:11:401   00   15000   12037   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=74% mem_
[2026/07/19 01:02:11:792   00   15000   18745   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 01:02:13:913   00   15000   06906   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=dfd92684d5
[2026/07/19 01:02:16:910   00   15000   08005   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=953ccbfcab
[2026/07/19 01:02:18:436   00   15000   07352   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 01:02:18:885   00   15000   16921   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 01:02:19:139   00   15000   07790   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=573bcfa02b
[2026/07/19 01:02:24:214   00   15000   10784   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=6ff62ef6c9
[2026/07/19 01:02:24:282   00   15000   07009   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 01:02:27:324   00   15000   03867   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50 e
[2026/07/19 01:02:27:589   00   15000   15288   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=f695775dc9
[2026/07/19 01:02:27:725   00   15000   05049   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=29% mem_
[2026/07/19 01:04:00:725   00   15000   18981   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 01:04:16:199   00   15000   02184   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=3135cf4cce
[2026/07/19 01:04:31:481   00   15000   08743   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=WebService
[2026/07/19 01:04:31:974   00   15000   07806   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=ea0fc1aaba
[2026/07/19 01:05:40:974   00   15000   17949   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=4062a1b339
[2026/07/19 01:05:44:506   00   15000   13236   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=f672e24206
[2026/07/19 01:05:44:607   00   15000   07002   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | trace_id=5331ba2f
[2026/07/19 01:05:50:325   00   15000   10810   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50 m
[2026/07/19 01:08:51:325   00   15000   18475   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50  
